kabkot,kabkot_kode,prov,year,lf_non1,lf_non2,lf_non,lf_sd,lf_smp,lf_sma1,lf_sma2,lf_sma,lf_tert11,lf_tert12,lf_tert2,lf_tert,lf
Kota Pasuruan,3575,35,2017,763,9357,10120,19340,13821,21810,20315,42125,NA,NA,12080,14087,99493
Kota Mojokerto,3576,35,2017,166,5292,5458,8847,9013,15021,14786,29807,NA,NA,11461,14110,67235
Kota Madiun,3577,35,2017,622,4031,4653,8792,14339,20017,23966,43983,NA,NA,18991,22668,94435
Kota Surabaya,3578,35,2017,15793,103004,118797,189181,210718,375070,315323,690393,NA,NA,241243,286748,1495837
Kota Batu,3579,35,2017,248,12559,12807,26187,24501,22906,15527,38433,NA,NA,10065,13663,115591
Kabupaten Pacitan,3501,35,2018,7622,32725,40347,151899,82235,23332,30497,53829,NA,NA,22893,25535,353845
Kabupaten Ponorogo,3502,35,2018,39965,49372,89337,138421,117829,64722,52692,117414,NA,NA,32554,42249,505250
Kabupaten Trenggalek,3503,35,2018,2471,47196,49667,171160,92575,47699,31475,79174,NA,NA,21127,23933,416509
Kabupaten Tulungagung,3504,35,2018,4882,49137,54019,208337,144311,61578,55556,117134,NA,NA,40385,45509,569310
Kabupaten Blitar,3505,35,2018,15403,95911,111314,197437,145770,77732,69701,147433,NA,NA,29796,36506,638460
Kabupaten Kediri,3506,35,2018,25030,98470,123500,221960,170084,116315,120588,236903,NA,NA,52023,65938,818385
Kabupaten Malang,3507,35,2018,16921,243425,260346,454383,275850,154132,151913,306045,NA,NA,88755,102986,1399610
